企業名,Tier,取引,"スコア
リング","Riskdog
業界スコア","従業員数
スコア","調整
スコア","フォーム営業
フォームA
（信販）","フォーム営業
フォームA
（不動産）","DM送付先部署名
（コンプラDB版）","DM送付先部署電話番号
（コンプラDB版）","DM送付状況
（コンプラDB版）","DM送付日
（コンプラDB版）",メイン業界,メイン小業界,Riskdog業界,会社サイトURL,設立年月,上場種別,サブ業界,業態,"ToC
メインフラグ","ホールディングス
フラグ",信金フラグ,強制減点,事業内容一言説明,企業概要,事業内容キーワード,従業員数,売上高,売上予測,資本金,決算月,店舗数,事業所数,法人番号,郵便番号（本社住所）,本社住所,郵便番号（登記住所）,現住所,代表電話番号,FAX番号,代表メールアドレス,お問い合わせURL,備考
テックコイン株式会社,Tier1,なし,116,96,20,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,加盟店向け決済代行・決済プラットフォーム,https://tech-coin.net/,,未上場,,BtoB|BtoC,FALSE,FALSE,FALSE,FALSE,オンライン決済代行と多様な課金方式を提供する決済サービス会社,オンライン決済代行を中心に、クレジットカード決済ほか電子マネー・銀行振込・口座振替を一括導入・運用代行。情報商材や動画・メルマガ等のデジタルコンテンツ向け課金や継続課金、少額・従量課金など多様な課金方式に対応。定額制サイト支援、クイック決済・スマホ最適化・入金サイクル細分化、与信認証を含む運用を提供。海外展開支援としてドル建て決済・英語ページ対応も行う。,電子決済サービス|収納代行・代金回収|決済代行,21,,4033007449,,,0,0,5020001121227,,,150-0002,東京都渋谷区渋谷１丁目１７番４号ＰＭＯ渋谷５階,,,,https://tech-coin.net/contact/,
日本カード株式会社,Tier1,なし,116,96,20,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,加盟店向け決済代行・決済プラットフォーム,https://www.nippon-card.co.jp/company/,1988-4,未上場,クラウド・フィンテック業界の会社,BtoB|BtoC,FALSE,FALSE,FALSE,FALSE,地域商店街・自治体・企業向けのポイント・プリペイド・キャッシュレス端末とクラウドサービスを統合提供する決済・販促ソリューション会社,地域商店街・自治体・企業向けにポイント・プリペイド・キャッシュレス端末とクラウドサービスを統合提供する決済・販促ソリューション事業者。はん子＆はん蔵など端末と「SHIAGEL」「SHIAGEL-biz」「smoocha」「smooder」を核に、行政連携・見守り機能・マイナンバー連携を含む公共分野のデジタル化支援、導入支援・運用保守・販促支援を行う。,システム導入支援|業務システム運用支援|ポイントサービス運営|クラウドサービス提供|電子決済システム販売|電子決済サービス|公共機関向けシステム販売,17,,586574095,100000000,,0,1,1120001048661,5340025,大阪府大阪市都島区片町2-2-40 大発ビルディング8F,534-0025,大阪府大阪市都島区片町２丁目２番４０号大発ビルディング８階,06-4800-5710,06-4800-5700,,https://www.nippon-card.co.jp/contact?slid=2fc58d08cc7042b1bf94490dd0e37758,
ＴａｋｅＭｅ株式会社,Tier1,なし,116,96,20,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,加盟店向け決済代行・決済プラットフォーム,https://takeme.com,2015-12,未上場,クラウド・フィンテック業界の会社,BtoB|BtoC,FALSE,FALSE,FALSE,FALSE,店舗向け決済プラットフォームと multipurpose DXソリューションを提供する会社,モバイル決済／QR決済を核とする店舗向けフィンテックと店舗DXを提供。「TakeMe Pay」を中心に決済プラットフォーム、スタンド型・リンク決済、決済データのリアルタイム管理と返金処理を実装。インバウンド向け予約・集客ソリューション「TakeMe インバウンド」と予約管理システムを連携させ、海外旅行メディアと連携した集客施策を展開。オーダー管理は外部へ承継済みで、複数ブランド対応や多通貨・多言語対応を特徴とする。,電子決済システム開発|モバイルシステム開発|電子決済サービス|決済代行|予約システム開発|インバウンド事業,16,,590876882,147000000,,0,0,4010401121860,1050003,東京都港区西新橋1-18-6 クロスオフィス内幸町2F,105-0003,東京都港区西新橋１丁目１８番６号クロスオフィス内幸町６０５号,,,info@takeme.com,https://admin.takeme.com/web/inquiry/,
ＮＴＴスマートトレード株式会社,Tier1,なし,116,96,20,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,"加盟店向け決済代行・決済プラットフォーム, 証券・金融インフラ・海外送金",http://www.nttsmarttrade.co.jp,2006-10,未上場,クラウド・フィンテック業界の会社,BtoB|BtoC,FALSE,FALSE,FALSE,FALSE,決済代行・送金・電子マネー発行を提供するFinTech企業で、ワンストップの導入支援とセキュリティ機能を備える会社,決済代行・送金・電子マネー発行を中核とするFinTech企業で、決済ゲートウェイ「決済GW」や自社電子マネー「ちょコム」の発行・運用を提供する。オンライン・店舗・コールセンター・イベント等の多様な決済シーンに対応し、口座振替BPOや導入支援を組み合わせたワンストップサービスを展開する。PCI DSS準拠とトークン化機能でセキュリティを確保する。,BPO関連サービス提供|電子決済サービス|決済代行,17,,2327466100,306578542,,0,0,8010001103611,1010051,東京都千代田区神田神保町3-25地 住友神保町ビル4階,102-0074,東京都千代田区神田神保町３丁目２５番地,03-3515-0765,,info@nttsmarttrade.co.jp,http://www.nttsmarttrade.co.jp/mail/contact.html,
株式会社とちぎんカード・サービス,Tier1,なし,115,95,20,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,クレジットカード発行・ローン提供（信販・銀行系）,https://www.tochigin-card.co.jp/,1991-3,未上場,,BtoB|BtoC,FALSE,FALSE,FALSE,FALSE,栃木銀行グループのクレジットカード発行・管理と決済オプション提供を行う会社,栃木銀行グループに属する銀行系クレジットカード会社で、クレジットカードの発行・管理、個人・法人向けカード、決済オプションの提供を行う。提携ブランドは「JCB」「Visa/Mastercard」「American Express」などで、ポイントサービスやギフトカード販売、信用保証業務を通じた融資支援を実施。,ポイントサービス運営|金券・ギフト券（商品券・旅行券・図書カード等）販売|電子決済サービス|債務保証|クレジットカード発行,23,,852583082,20000000,,1,0,7060001003196,3200802,栃木県宇都宮市江野町1-12,320-0802,栃木県宇都宮市江野町１番１２号,02-8636-8111,02-8635-2020,,https://www.tochigin-card.co.jp/inq/,
株式会社ＵＳＳサポートサービス,Tier1,なし,115,95,20,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,"特定業界向けファイナンス・加盟店型ローン, 加盟店向け決済代行・決済プラットフォーム, リース・総合金融サービス",https://www.uss-ss.net/company.html,2006-3,未上場,レンタカー・リース業界の会社|保険代理店業界の会社,BtoB|CtoC,FALSE,FALSE,FALSE,FALSE,自動車オークション向け決済・クレジット・保証・ローンを一括提供する金融・決済インフラ企業の総合支援会社,自動車オークション市場を中心に、会員向け決済・クレジット・保証・ローンをワンストップ提供する金融・決済インフラ企業。特に「Just&Timely」等の落札代金立替・期日延長クレジットや「コネクテッドローン」などIoT車両監視と連携したローン商品を展開。会場管理・振込代行「Fricomy@」などの業務支援も行い、保険代理業・物流サービス・オークション業務効率化支援も提供する。,集金代行|自動車ローン販売|債務保証|決済代行|損害保険販売,24,,534316868,45000000,,0,0,1180001095005,4760005,愛知県東海市新宝町507-の20,476-0005,愛知県東海市新宝町５０７番地の２０,05-2604-0100,03-3276-7501,,https://www.uss-ss.net/contact-auto-loan-list/contact-auto-loan.html,
株式会社ＡＸＥＳ　Ｐａｙｍｅｎｔ,Tier1,なし,106,96,10,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,加盟店向け決済代行・決済プラットフォーム,https://www.axes-payment.co.jp,1989-8,未上場,,BtoB|BtoC,FALSE,FALSE,FALSE,FALSE,オンライン決済代行を核に、クレジット決済導入・決済処理・売上管理画面提供と多様な決済手段を統合する会社,オンライン決済代行を核に、クレジットカード決済の導入・決済処理・売上管理画面の提供を行う。LinkPoint系の即時導入決済やスマホ対応の決済ページ、カード情報非保持化設計を提供。電子マネー・コンビニ決済・銀行振込の取扱いと継続課金・オフライン決済を支援し、売上消込・一括支払・請求名義カスタマイズ等の付帯サービスも提供する。セキュリティ認証と24/7サポート体制を特徴とする。,集金代行|電子決済サービス|決済代行,10,,1600390562,45000000,,0,0,6011001033949,1500002,東京都渋谷区渋谷2-1-1 青山ファーストビル 8F,150-0002,東京都渋谷区渋谷２丁目１番１号,03-3498-7711,,,https://www.axes-payment.co.jp/form/contact/,
株式会社ＤＳＫペイメント,Tier1,なし,106,96,10,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,"加盟店向け決済代行・決済プラットフォーム, BtoB後払い決済（BNPL）・掛払い・請求代行",https://www.dsk-p.co.jp,1992-4,未上場,ITコンサルティング業界の会社|システム開発業界の会社|システム受託開発業界の会社,BtoB|BtoC,FALSE,FALSE,FALSE,FALSE,決済領域に特化し、デジタル決済・債権保証型決済・決済処理の統合提供を行う会社,決済領域に特化し、デジタル決済サービス、債権保証型決済、決済処理システムの統合を主要事業とする。エンドユーザーの利便性を重視した決済ソリューションの提供、事業者の未回収リスクを引受けるサービス、EC事業者とアクワイアラ間の連携設計・運用保守までを一貫して支援する。付随的に情報処理、コンサルティング、ソフト開発・販売、労働者派遣・職業紹介も実施する。ISMS・プライバシーマークを取得し情報セキュリティ体制を整備している。,債権管理|システムインテグレーション（SI）|電子決済システム開発|システム管理支援|電子決済システム販売|電子決済サービス|決済代行,13,,828930342,195000000,12,0,0,5010001135252,1040032,東京都中央区八丁堀2-20-8 八丁堀綜通ビル 5階,104-0032,東京都中央区八丁堀２丁目２０番８号,03-3537-6980,,management@dsk-p.co.jp,https://dsk-p.co.jp/contact/,
株式会社シマトモ,Tier1,なし,106,96,10,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,加盟店向け決済代行・決済プラットフォーム,https://www.shimatomo.com,1990-8,未上場,ITコンサルティング業界の会社,BtoB,FALSE,FALSE,FALSE,FALSE,クレジット決済代行を中核に「SUI Credit Service」ブランドで複数決済を一括提供する会社,クレジット決済代行を中核とし、SUI Credit Serviceブランドで主要5ブランド対応の決済代行を提供。決済端末ソリューション、Web決済（リンク式・ゲートウェイ式）、継続決済・サブスクリプト管理、コンサルティング・付帯業務を一括提供。EC/デジタルコンテンツ等幅広い業種に導入実績を有し、導入スピードと低コストを特徴とする。,電子決済システム販売|電子決済サービス|決済代行,11,1096000000,,10000000,7,1,0,6160001010811,1030015,東京都中央区日本橋箱崎町17-9 箱崎升喜ビル 4階B,103-0015,東京都中央区日本橋箱崎町１７－９号,03-6667-0668,,,https://www.shimatomo.com/contact2.php/,
株式会社キャネットクレジット,Tier1,なし,106,96,10,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,"加盟店向け決済代行・決済プラットフォーム, 特定業界向けファイナンス・加盟店型ローン",https://canet-credit.co.jp/,2012-7,未上場,,BtoB|BtoC,FALSE,FALSE,FALSE,FALSE,加盟店向けショッピングクレジットの立替払いと分割回収を提供する金融サービスを展開する会社,ショッピングクレジット（立替払い）を核とする金融サービス事業を展開。加盟店へ商品代金を一括立替払いし、顧客は分割で回収する与信・回収を店頭申込型で実施。取扱限度額は10万円〜100万円、分割回数は3〜60回、ボーナス併用払いも可能。多業種へ適用し、審査結果を即日通知する迅速性と全国対応を強みとする。,債権管理|収納代行・代金回収|ショッピングローン販売,11,,469806948,,,0,0,3130001049624,6008482,京都府京都市下京区綾堀川町296- 四条堀川ビル4階,600-8482,京都府京都市下京区堀川通綾小路下る綾堀川町２９６番地,07-5813-0550,,,https://canet-credit.co.jp/inquiry/,
ジェイシーエス株式会社,Tier1,なし,106,96,10,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,加盟店向け決済代行・決済プラットフォーム,http://cardkessai-online.jp,,未上場,,BtoB|BtoC,FALSE,FALSE,FALSE,FALSE,クレジット決済代行と無店舗型含む多様な決済を提供する会社,クレジットカード決済代行を中心に、実店舗端末決済・PC/モバイル/Web決済・出先決済に対応。役務業種向けの専用決済、無店舗型ビジネスの海外/Web決済含む、継続課金・分割決済にも対応。銀行振込決済「ジェイシーエス銀行振込決済」を提供し、口座番号自動発行・入金消込を自動化。導入支援・24hサポートと審査代行を実施する。,電子決済サービス|収納代行・代金回収|決済代行,11,,617501016,,,0,0,1010601036077,1060041,東京都港区麻布台2-3-２２ 2F,106-0041,東京都港区麻布台２丁目３番２２号一乗寺ビル２階,03-6743-8888,,,https://www.cardkessai-online.jp/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%E3%83%BB%E3%81%8A%E7%94%B3%E3%81%97%E8%BE%BC%E3%81%BF.html,
フレンドトラスト株式会社,Tier1,なし,106,96,10,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,"加盟店向け決済代行・決済プラットフォーム, クレジットカード発行・ローン提供（信販・銀行系）",http://shinpan-friend.com,1978-2,未上場,,BtoB|BtoC,FALSE,FALSE,FALSE,FALSE,対面・非対面の小売事業者向けに「WEB SHINPAN」等を用い申込受付・審査・立替払・回収を一連で支援する決済系FinTechサービスを提供する会社,ショッピングクレジットの個別信用購入あっせんを主軸に、対面・非対面の小売事業者向けに申込受付・審査・立替払・回収を一連で支援。FinTechを活用した「WEB SHINPAN」により非対面申込を実現、電子交付・業種別テンプレート・チャット連携で加盟店の運用効率化を図る。週末対応やキャッシュフロー支援を特徴とする。,債権管理|債権回収|信用調査|収納代行・代金回収|ショッピングローン販売,11,,542585888,,,0,0,2010001104004,1010052,東京都千代田区神田小川町1-1-4 日光ビル2階,101-0052,東京都千代田区神田小川町１丁目１番地４,03-6285-0510,,,https://shinpan-friend.com/contact/,
株式会社Ｊａｐａｎ　Ｖｅｎｔｕｒｅ　Ａｇｅｎｃｙ,Tier1,なし,106,96,10,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,加盟店向け決済代行・決済プラットフォーム,http://jva.co.jp,2016-1,未上場,その他業務請負業界の会社,BtoB|BtoC,FALSE,FALSE,FALSE,FALSE,クレジット決済・電力決済の導入支援と派遣営業を行う決済ソリューション提供会社,クレジットカード関連のセールスおよび決済ソリューションを提供する事業を行う。主なサービスとして、セールススタッフ派遣事業（空港・百貨店等での入会促進および法人カード営業の派遣）を展開し、店頭・EC向け決済導入支援（端末無償提供・QR決済・ICカード対応）と手数料交渉、導入後の運用コンサルティングを一貫して提供する。加えて新電力代理店事業を通じ、クレジット決済と電気料金決済の一体化を提案する。その他、営業コンサルタント、トレーディングカードゲームの買取販売、不動産賃貸等も行う。主要取引先との連携実績を有し、専門性の高いセールス人材を活用した導入支援とコスト最適化を特徴とする。,営業コンサルティング|トレーディングカード販売|トレーディングカード買取|販売員派遣|電子決済サービス|決済代行,11,,1977126202,20000000,,0,0,6180001121672,5410059,大阪府大阪市中央区博労町1-8-8ピカソ堺筋本町ビル704,541-0059,大阪府大阪市中央区博労町１丁目８番８号ピカソ堺筋本町ビル７０４号,06-6263-2300,06-6263-2301,,http://jva.co.jp/contact/,
きらぼしＪＣＢ株式会社,Tier1,なし,105,95,10,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,"クレジットカード発行・ローン提供（信販・銀行系）, 加盟店向け決済代行・決済プラットフォーム",https://www.kiraboshijcb.co.jp,1989-9,未上場,貸金業界の会社,BtoB|BtoC,FALSE,FALSE,FALSE,FALSE,個人・法人向けクレジットカードの発行・管理や決済ソリューション、ポイント・WEBサービスを展開する会社,クレジットカード発行・管理をはじめ、個人・法人向けカード「JCB一般カード」「JCBゴールドカード」「JCBプラチナカード」等の提供、加盟店申込受付と全国での取扱い支援、請求書カード払い等の法人向け決済ソリューション、会員向けWEBサービス「MyJCB」やポイント・キャンペーン、キャッシングサービス（リボ・1回払い・ATM引出し等）、JCBギフトカードの販売・取扱店拡大、紛失・盗難受付等のカスタマーサポートを展開する。,ポイントサービス運営|金券・ギフト券（商品券・旅行券・図書カード等）販売|クレジットカード発行|決済代行,10,,730106130,30000000,,0,0,9010501008672,1700013,東京都豊島区東池袋2-61-3,170-0013,東京都豊島区東池袋２丁目６１番３号,03-5927-1233,03-5950-2110,,https://www.kiraboshijcb.co.jp/contact/,
